sensor_id,asset_id,component_id,timestamp,sensor_type,value
SEN-AS-1001-RPM-0001,AS-1001,BRG-1001,2024-01-01T00:00:00,RPM,2342.3063
SEN-AS-1001-RPM-0001,AS-1001,ENG-1001,2024-01-01T00:00:00,RPM,2342.3063
SEN-AS-1001-RPM-0002,AS-1001,BRG-1001,2024-01-01T00:15:00,RPM,2434.6732
SEN-AS-1001-RPM-0002,AS-1001,ENG-1001,2024-01-01T00:15:00,RPM,2434.6732
SEN-AS-1001-RPM-0003,AS-1001,BRG-1001,2024-01-01T00:30:00,RPM,2438.7083
SEN-AS-1001-RPM-0003,AS-1001,ENG-1001,2024-01-01T00:30:00,RPM,2438.7083
SEN-AS-1001-RPM-0004,AS-1001,BRG-1001,2024-01-01T00:45:00,RPM,2444.1181
SEN-AS-1001-RPM-0004,AS-1001,ENG-1001,2024-01-01T00:45:00,RPM,2444.1181
SEN-AS-1001-RPM-0005,AS-1001,BRG-1001,2024-01-01T01:00:00,RPM,2390.3231
SEN-AS-1001-RPM-0005,AS-1001,ENG-1001,2024-01-01T01:00:00,RPM,2390.3231
SEN-AS-1001-RPM-0006,AS-1001,BRG-1001,2024-01-01T01:15:00,RPM,2501.3951
SEN-AS-1001-RPM-0006,AS-1001,ENG-1001,2024-01-01T01:15:00,RPM,2501.3951
SEN-AS-1001-RPM-0007,AS-1001,BRG-1001,2024-01-01T01:30:00,RPM,2417.4623
SEN-AS-1001-RPM-0007,AS-1001,ENG-1001,2024-01-01T01:30:00,RPM,2417.4623
SEN-AS-1001-RPM-0008,AS-1001,BRG-1001,2024-01-01T01:45:00,RPM,2428.4081
SEN-AS-1001-RPM-0008,AS-1001,ENG-1001,2024-01-01T01:45:00,RPM,2428.4081
SEN-AS-1001-RPM-0009,AS-1001,BRG-1001,2024-01-01T02:00:00,RPM,2352.5498
SEN-AS-1001-RPM-0009,AS-1001,ENG-1001,2024-01-01T02:00:00,RPM,2352.5498
SEN-AS-1001-RPM-0010,AS-1001,BRG-1001,2024-01-01T02:15:00,RPM,2291.9169
SEN-AS-1001-RPM-0010,AS-1001,ENG-1001,2024-01-01T02:15:00,RPM,2291.9169
SEN-AS-1001-RPM-0011,AS-1001,BRG-1001,2024-01-01T02:30:00,RPM,2396.4473
SEN-AS-1001-RPM-0011,AS-1001,ENG-1001,2024-01-01T02:30:00,RPM,2396.4473
SEN-AS-1001-RPM-0012,AS-1001,BRG-1001,2024-01-01T02:45:00,RPM,2521.6161
SEN-AS-1001-RPM-0012,AS-1001,ENG-1001,2024-01-01T02:45:00,RPM,2521.6161
SEN-AS-1001-RPM-0013,AS-1001,BRG-1001,2024-01-01T03:00:00,RPM,2405.262
SEN-AS-1001-RPM-0013,AS-1001,ENG-1001,2024-01-01T03:00:00,RPM,2405.262
SEN-AS-1001-RPM-0014,AS-1001,BRG-1001,2024-01-01T03:15:00,RPM,2362.8349
SEN-AS-1001-RPM-0014,AS-1001,ENG-1001,2024-01-01T03:15:00,RPM,2362.8349
SEN-AS-1001-RPM-0015,AS-1001,BRG-1001,2024-01-01T03:30:00,RPM,2456.929
SEN-AS-1001-RPM-0015,AS-1001,ENG-1001,2024-01-01T03:30:00,RPM,2456.929
SEN-AS-1001-RPM-0016,AS-1001,BRG-1001,2024-01-01T03:45:00,RPM,2322.8442
SEN-AS-1001-RPM-0016,AS-1001,ENG-1001,2024-01-01T03:45:00,RPM,2322.8442
SEN-AS-1001-RPM-0017,AS-1001,BRG-1001,2024-01-01T04:00:00,RPM,2333.7562
SEN-AS-1001-RPM-0017,AS-1001,ENG-1001,2024-01-01T04:00:00,RPM,2333.7562
SEN-AS-1001-RPM-0018,AS-1001,BRG-1001,2024-01-01T04:15:00,RPM,2382.5319
SEN-AS-1001-RPM-0018,AS-1001,ENG-1001,2024-01-01T04:15:00,RPM,2382.5319
SEN-AS-1001-RPM-0019,AS-1001,BRG-1001,2024-01-01T04:30:00,RPM,2409.8205
SEN-AS-1001-RPM-0019,AS-1001,ENG-1001,2024-01-01T04:30:00,RPM,2409.8205
SEN-AS-1001-RPM-0020,AS-1001,BRG-1001,2024-01-01T04:45:00,RPM,2368.1963
SEN-AS-1001-RPM-0020,AS-1001,ENG-1001,2024-01-01T04:45:00,RPM,2368.1963
SEN-AS-1001-RPM-0021,AS-1001,BRG-1001,2024-01-01T05:00:00,RPM,2340.7566
SEN-AS-1001-RPM-0021,AS-1001,ENG-1001,2024-01-01T05:00:00,RPM,2340.7566
SEN-AS-1001-RPM-0022,AS-1001,BRG-1001,2024-01-01T05:15:00,RPM,2452.3146
SEN-AS-1001-RPM-0022,AS-1001,ENG-1001,2024-01-01T05:15:00,RPM,2452.3146
SEN-AS-1001-RPM-0023,AS-1001,BRG-1001,2024-01-01T05:30:00,RPM,2473.6899
SEN-AS-1001-RPM-0023,AS-1001,ENG-1001,2024-01-01T05:30:00,RPM,2473.6899
SEN-AS-1001-RPM-0024,AS-1001,BRG-1001,2024-01-01T05:45:00,RPM,2393.797
SEN-AS-1001-RPM-0024,AS-1001,ENG-1001,2024-01-01T05:45:00,RPM,2393.797
SEN-AS-1001-RPM-0025,AS-1001,BRG-1001,2024-01-01T06:00:00,RPM,2492.7238
SEN-AS-1001-RPM-0025,AS-1001,ENG-1001,2024-01-01T06:00:00,RPM,2492.7238
SEN-AS-1001-RPM-0026,AS-1001,BRG-1001,2024-01-01T06:15:00,RPM,2418.1647
SEN-AS-1001-RPM-0026,AS-1001,ENG-1001,2024-01-01T06:15:00,RPM,2418.1647
SEN-AS-1001-RPM-0027,AS-1001,BRG-1001,2024-01-01T06:30:00,RPM,2455.0392
SEN-AS-1001-RPM-0027,AS-1001,ENG-1001,2024-01-01T06:30:00,RPM,2455.0392
SEN-AS-1001-RPM-0028,AS-1001,BRG-1001,2024-01-01T06:45:00,RPM,2328.0149
SEN-AS-1001-RPM-0028,AS-1001,ENG-1001,2024-01-01T06:45:00,RPM,2328.0149
SEN-AS-1001-RPM-0029,AS-1001,BRG-1001,2024-01-01T07:00:00,RPM,2456.0736
SEN-AS-1001-RPM-0029,AS-1001,ENG-1001,2024-01-01T07:00:00,RPM,2456.0736
SEN-AS-1001-RPM-0030,AS-1001,BRG-1001,2024-01-01T07:15:00,RPM,2430.4915
SEN-AS-1001-RPM-0030,AS-1001,ENG-1001,2024-01-01T07:15:00,RPM,2430.4915
SEN-AS-1001-RPM-0031,AS-1001,BRG-1001,2024-01-01T07:30:00,RPM,2361.0467
SEN-AS-1001-RPM-0031,AS-1001,ENG-1001,2024-01-01T07:30:00,RPM,2361.0467
SEN-AS-1001-RPM-0032,AS-1001,BRG-1001,2024-01-01T07:45:00,RPM,2499.1971
SEN-AS-1001-RPM-0032,AS-1001,ENG-1001,2024-01-01T07:45:00,RPM,2499.1971
SEN-AS-1001-RPM-0033,AS-1001,BRG-1001,2024-01-01T08:00:00,RPM,2387.7818
